district_code,fuel_id,reg_year,total_amount
11545,7,2024,62
11560,1,2024,73633
11560,2,2024,48734
11560,3,2024,8459
11560,4,2024,96
11560,5,2024,10285
11560,6,2024,2844
11560,7,2024,183
11590,1,2024,58655
11590,2,2024,31021
11590,3,2024,6293
11590,4,2024,42
11590,5,2024,8399
11590,6,2024,1713
11590,7,2024,130
11620,1,2024,61024
11620,2,2024,37486
11620,3,2024,9479
11620,4,2024,208
11620,5,2024,7505
11620,6,2024,1893
11620,7,2024,79
11650,1,2024,97443
11650,2,2024,49468
11650,3,2024,6238
11650,4,2024,476
11650,5,2024,16020
11650,6,2024,6261
11650,7,2024,235
11680,1,2024,142723
11680,2,2024,64941
11680,3,2024,9654
11680,4,2024,207
11680,5,2024,23407
11680,6,2024,14236
11680,7,2024,276
11710,1,2024,130316
11710,2,2024,72762
11710,3,2024,14851
11710,4,2024,795
11710,5,2024,19664
11710,6,2024,4663
11710,7,2024,247
11740,1,2024,79035
11740,2,2024,47654
11740,3,2024,12769
11740,4,2024,171
11740,5,2024,11358
11740,6,2024,3127
11740,7,2024,258
11110,1,2025,25509
11110,2,2025,16168
11110,3,2025,2080
11110,4,2025,89
11110,5,2025,4237
11110,6,2025,1606
11110,7,2025,88
11140,1,2025,24876
11140,2,2025,16364
11140,3,2025,2483
11140,4,2025,25
11140,5,2025,4892
11140,6,2025,1990
11140,7,2025,82
11170,1,2025,39904
11170,2,2025,20490
11170,3,2025,2904
11170,4,2025,28
11170,5,2025,7201
11170,6,2025,2064
11170,7,2025,96
11200,1,2025,54339
11200,2,2025,29835
11200,3,2025,6410
11200,4,2025,263
11200,5,2025,9255
11200,6,2025,3301
11200,7,2025,78
11215,1,2025,49309
11215,2,2025,29415
11215,3,2025,7057
11215,4,2025,148
11215,5,2025,8114
11215,6,2025,1758
11215,7,2025,64
11230,1,2025,52074
11230,2,2025,32789
11230,3,2025,7723
11230,4,2025,42
11230,5,2025,8563
11230,6,2025,2086
11230,7,2025,71
11260,1,2025,54569
11260,2,2025,37941
11260,3,2025,12399
11260,4,2025,296
11260,5,2025,7698
11260,6,2025,2535
11260,7,2025,63
11290,1,2025,63383
11290,2,2025,35952
11290,3,2025,8058
11290,4,2025,674
11290,5,2025,10397
11290,6,2025,2602
11290,7,2025,73
11305,1,2025,36175
11305,2,2025,23310
11305,3,2025,6843
11305,4,2025,560
11305,5,2025,4780
11305,6,2025,1482
11305,7,2025,37
11320,1,2025,46360
11320,2,2025,28586
11320,3,2025,10005
